,sin2_2theta,delta_m2,-2dllh_estimate_crit_0.5,-2dllh_estimate_crit_0.6,-2dllh_estimate_crit_0.7,-2dllh_estimate_crit_0.8,-2dllh_estimate_crit_0.85,-2dllh_estimate_crit_0.9,-2dllh_estimate_crit_0.95,-2dllh_estimate_crit_0.97,-2dllh_estimate_crit_0.99
0,0.0001,1.0,-0.07890358194708824,-0.051569455862045296,0.0008022876922040767,0.16413469910621645,0.3887962296605105,0.9836282134056097,2.4293216228485104,2.6051542806625365,3.1090624475479376
1,0.0001,1.2689610031679222,-0.060463862493634224,-0.013879446871578723,0.13018894046545024,0.40104964971542373,0.9620423465967164,1.202090811729433,2.732342779636383,3.0156467938423157,5.378144783973697
2,0.0001,1.6102620275609394,-0.10615639388561249,-0.05703924596309665,0.10861779302358626,0.3771694719791413,0.5138742625713347,1.3493138670921347,1.9348974049091316,2.8413599276542665,3.1964928627014237
3,0.0001,2.043359717856942,-0.10822908207774162,-0.05417896807193757,0.08313539922237391,0.20830852687358858,0.34033124148845656,0.4824656248092679,1.4748353362083433,1.6784631502628333,2.2952290630340597
4,0.0001,2.592943797404667,-0.04327948018908501,0.05073808580636973,0.20021725445985786,0.3640363514423371,0.5066151291131935,1.3411562085151685,2.8670408964157104,2.9289486551284796,4.8441100931167655
5,0.0001,3.2903445623126686,-0.014887814410030842,0.17136267423629759,0.4275979787111282,0.5680281043052674,0.6711585015058508,0.8587348461151135,1.3256628930568695,1.3978958344459536,2.650358271598818
6,0.0001,4.1753189365604015,-0.03512096591293812,0.08527698069810866,0.3020659744739531,0.5066454172134404,0.9375869125127783,1.212938511371613,2.1698236823081967,2.5539616918563843,2.7868186831474446
7,0.0001,5.298316906283708,-0.011821347288787365,0.3078434109687803,0.7899256527423857,1.3313361167907718,1.6093691647052748,2.0614295244216927,3.4253304481506333,4.204162578582764,4.402268781661991
8,0.0001,6.7233575364993365,0.14798782765865326,0.30699121952056885,0.5258317083120341,0.9981985092163086,1.4358386933803546,1.9496909141540533,2.62715698480606,3.344807033538819,4.119339013099685
9,0.0001,8.531678524172808,0.07325166836380959,0.30320901870727535,0.5013920903205872,0.9286595582962037,1.1938979923725128,1.510019850730898,2.2021174550056455,2.506760199069977,4.142548117637637
10,0.0001,10.826367338740546,0.08303239569067955,0.3016646027565002,0.7879600524902344,1.0483298301696777,1.7682680428028106,2.4039060831069947,3.4609778523445125,3.7324850463867194,5.390168948173558
11,0.0001,13.73823795883263,0.0791311226785183,0.39338185191154473,0.7994633734226226,1.1876957654953004,1.66187671422958,2.5621764183044444,3.700816476345062,5.144586229324346,11.985720186233523
12,0.0001,17.43328822199988,0.10852279514074326,0.2461658507585525,0.5973563849925994,1.133480024337769,1.4718988537788373,1.7614844918251054,3.4734421849250743,7.1582280874252335,8.439894390106227
13,0.0001,22.122162910704493,0.10777528211474419,0.1548046588897705,0.2909983098506926,0.8897953271865846,1.3547424137592314,1.7741670131683356,3.6260101556777933,5.68214807033539,9.548551797866843
14,0.0001,28.072162039411772,0.13099004328250885,0.17800066769123077,0.2599980801343918,0.5911882281303407,0.728795596957206,1.0232841014862073,1.4102512300014496,1.5370102429389962,3.2777921915054353
15,0.0001,35.62247890262442,0.23006081581115723,0.27943822741508484,0.39931594431400297,0.6724055051803589,0.8860830038785916,1.6498863339424135,2.282321166992187,2.591181755065918,5.576980142593388
16,0.0001,45.20353656360243,0.2550487369298935,0.2863986372947693,0.31562124788761137,0.39402260780334475,0.48962173759937033,1.1429774999618543,2.1593657851219152,3.2798532366752626,3.759384989738488
17,0.0001,57.36152510448679,0.255852073431015,0.2783584713935852,0.3373237133026123,0.4084268510341645,0.6911115020513532,1.1117056250572215,1.593216276168821,2.4164385700225846,4.678069200515755
18,0.0001,72.7895384398315,0.278937965631485,0.30397353768348695,0.35557429194450374,0.5195082545280457,0.7443827837705608,1.7787455201148998,3.4451140999793997,4.093305215835572,4.687107934951798
19,0.0001,92.36708571873861,0.2983759045600891,0.3493843197822571,0.5854869544506073,1.0788558006286624,1.367885065078735,1.918442928791048,3.3587914705276476,4.018334910869601,9.532267217636116
20,0.0001,117.21022975334806,0.28673405945301056,0.3464505672454834,0.44440480470657334,0.7974451780319215,0.9471281766891478,1.7264781832695013,2.4233781576156606,3.1919266176223755,6.68331303596498
21,0.0001,148.73521072935117,0.27930644154548645,0.3006277561187744,0.36117548048496245,0.4273350477218628,0.5559253484010696,0.7705206751823427,1.1853103101253504,4.6064348745346075,5.230812945365926
22,0.0001,188.73918221350976,0.320096030831337,0.381302398443222,0.5726796090602873,1.0255416631698613,1.3656281530857057,2.466900444030763,3.9841403245925897,5.684615702629089,7.379881176948578
23,0.0001,239.5026619987486,0.21150166541337967,0.25499799251556393,0.3073055952787399,0.4783603310585023,0.7893019080162041,1.2659671306610132,1.9063549399375914,2.9773281311988833,3.5457835626602616
24,0.0001,303.9195382313198,0.24137581139802933,0.2832940876483917,0.43326892256736754,0.6719418525695802,1.1083513557910871,2.028313636779787,2.963454115390777,6.089718542099001,8.067382240295421
25,0.0001,385.6620421163472,0.226963073015213,0.29753642082214354,0.42812463343143453,1.2126569747924805,1.8230165779590604,3.0208141565322886,3.575860178470611,3.734251394271851,5.625089240074208
26,0.0001,489.3900918477494,0.20583584904670715,0.3143937468528747,0.46744125187396995,1.282899022102356,1.5614989757537836,2.5424199581146256,3.54259979724884,5.553959994316101,6.741997327804566
27,0.0001,621.0169418915616,0.214028000831604,0.2943735063076019,0.48590652346611013,0.9979847908020021,1.2544084250926968,1.9519103884696984,3.1507814168930035,4.494848084449768,8.032711930275005
28,0.0001,788.0462815669912,0.2271912470459938,0.2672163248062134,0.4167195945978164,0.5973940968513489,0.9143823325633993,1.5478646874427813,2.4546213746070853,3.0385672211647083,10.93027248382571
29,0.0001,1000.0,0.19768840819597244,0.2877893567085266,0.4154020607471466,0.7714696526527411,1.2149849414825438,2.3745875835418704,3.0656513094902036,3.2986370396614073,4.318690347671515
30,0.00013738237958832623,1.0,-0.17232760787010193,-0.11964726597070696,0.01427035555243487,0.22439536750316622,0.618348106741905,0.8392966330051422,1.3260278761386854,1.9191123867034914,2.8019422531127947
31,0.00013738237958832623,1.2689610031679222,-0.10056310147047043,-0.045411838591098826,0.19462294727563853,0.38921563029289263,0.6624215483665457,1.2014698863029494,2.456520855426788,2.8907234930992134,6.017948622703579
32,0.00013738237958832623,1.6102620275609394,-0.09199490770697594,-0.009797873161733155,0.18079498857259746,0.41697981357574476,0.6126514852046963,1.599753332138062,3.1613820910453794,3.336166367530824,5.148921823501592
33,0.00013738237958832623,2.043359717856942,-0.10145401209592819,0.06755810528993605,0.3467652112245559,0.5550794720649719,0.8026393353939044,1.4650903344154365,2.5686368346214286,2.9693088054656984,4.433330750465394
34,0.00013738237958832623,2.592943797404667,-0.01910479925572872,0.17041997015476223,0.2909406810998917,0.5961336374282838,0.7902314543724059,1.025517213344575,2.7223227977752686,3.0753539252281197,4.127577271461506
35,0.00013738237958832623,3.2903445623126686,0.20267528295516968,0.4951632738113403,0.7934677839279174,1.20764536857605,1.7080321490764616,2.311968994140625,3.473658037185667,4.3153488016128545,5.980968689918523
36,0.00013738237958832623,4.1753189365604015,0.16296543180942535,0.34580079913139344,0.658429044485092,1.1103697776794437,1.4151779174804684,2.201520299911502,3.43294084072113,3.5712700700759887,4.098032612800609
37,0.00013738237958832623,5.298316906283708,0.22113077342510223,0.3403610348701477,0.6965460538864133,1.470425009727478,1.682460230588913,1.939413595199587,2.4625803351402284,2.7869552087783815,3.4449725818634107
38,0.00013738237958832623,6.7233575364993365,0.34652863442897797,0.8593822240829464,1.2117570757865905,1.762736463546753,2.1460008978843685,2.8692820787429816,3.387539029121399,3.4660722589492807,4.693379120826724
39,0.00013738237958832623,8.531678524172808,0.059508441016077995,0.4033004283905029,0.5383325695991515,0.8619444727897646,1.0683515429496762,1.335595750808716,1.6034328937530506,2.0003568065166473,2.3213065195083753
40,0.00013738237958832623,10.826367338740546,0.24064863473176956,0.5495079159736633,0.8754488766193389,1.6453634023666381,2.5769875168800347,3.0674810171127325,3.8127542734146087,5.663915491104127,7.395585608482388
41,0.00013738237958832623,13.73823795883263,0.11290019005537033,0.3133877456188202,0.7301739037036895,1.2684998750686645,1.5537250280380237,2.2683468341827404,2.5482088327407832,3.407752659320831,3.8078607535362266
42,0.00013738237958832623,17.43328822199988,0.19113261252641678,0.3055789232254028,0.5963885426521301,1.2632002592086795,1.637738925218582,2.034822821617127,2.538770627975463,3.0935987091064456,7.194933972358735
43,0.00013738237958832623,22.122162910704493,0.19654150307178497,0.3692262828350067,0.7333481907844542,1.127994704246521,1.395773339271545,1.750005900859833,1.8600632607936858,1.9371112406253819,2.666799199581147
44,0.00013738237958832623,28.072162039411772,0.21233892440795898,0.2577684342861175,0.38159512281417846,0.8474974870681767,1.296968638896942,1.7711730122566223,2.393364357948303,2.4930137586593637,3.540570118427308
45,0.00013738237958832623,35.62247890262442,0.28878043591976166,0.3490052342414856,0.4518682062625884,0.8296120524406434,1.1634769141674033,1.3660354018211367,1.7504790365695937,2.4656653118133556,3.4202737069129983
